ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
255;84.35;7.67;8.67;25;0;96568.84;8.506981033;47.41613867;515.4;1.24;22.1;27
256;84.35;7.68;8.67;36;0;96575.57;8.506921142;47.41617278;515.4;1.24;22.4;26.9
257;84.45;7.69;8.68;22;0;96582.2;8.506861251;47.41620689;515.4;1.24;22.2;26.6
258;84.45;7.69;8.68;22;0;96587.72;8.50680136;47.41624099;515.4;1.24;22.3;26
259;84.56;7.69;8.68;30;0;96594.83;8.506741469;47.4162751;515.4;1.24;22.2;26.1
260;84.56;7.71;8.69;41;0;96603.05;8.506681577;47.41630921;515.4;1.24;22.3;26.5
261;84.56;7.69;8.69;53;0;96603.38;8.506621686;47.41634332;515.4;1.24;22.1;25.4
262;84.56;7.71;8.69;98;0;96612.56;8.506561795;47.41637743;515.4;1.24;22.3;25.4
263;84.56;7.71;8.69;24;0;96617.42;8.506560152;47.41637836;515.4;1.24;22.2;25.4
264;84.45;7.71;8.69;19;0;96628.31;8.506580673;47.41642957;515.4;1.24;21.9;25.5
265;84.45;7.72;8.7;21;0;96636.19;8.506601195;47.41648077;515.4;1.24;21.5;25.2
266;84.35;7.72;8.69;15;0;96651.05;8.506621716;47.41653198;515.4;1.24;21.1;24.3
267;84.35;7.72;8.7;18;0;96658.33;8.506642237;47.41658318;515.4;1.24;20.7;23.8
268;84.25;7.72;8.69;27;0;96669.75;8.506662758;47.41663439;515.4;1.24;20.5;23.4
269;84.25;7.71;8.69;25;0;96676.2;8.50668328;47.41668559;515.4;1.24;20.1;22.5
270;84.14;7.71;8.7;23;0;96685.23;8.506703801;47.4167368;515.4;1.24;20;22.4
271;84.14;7.71;8.69;22;0;96691.56;8.506724322;47.416788;515.4;1.24;19.5;21.9
272;84.14;7.71;8.68;17;0;96698.44;8.506744844;47.41683921;515.4;1.24;19.3;22
273;84.14;7.69;8.68;20;0;96705.98;8.506765365;47.41689041;515.4;1.24;19.4;22.2
274;84.14;7.69;8.67;20;0;96714.67;8.506785887;47.41694162;515.4;1.24;19.6;23.3
275;84.05;7.68;8.68;15;0;96717.53;8.506806408;47.41699282;515.4;1.24;19.6;23.4
276;84.05;7.69;8.68;8;0;96724.42;8.50682693;47.41704403;515.4;1.24;19.9;23.5
277;84.05;7.68;8.67;15;0;96737.8;8.506847451;47.41709523;515.4;1.24;19.9;23.3
278;84.05;7.68;8.67;23;0;96744.1;8.506867973;47.41714644;515.4;1.24;20;24.3
279;84.14;7.64;8.66;23;0;96742.62;8.506888495;47.41719764;515.4;1.24;20.3;25
280;84.14;7.67;8.67;23;0;96756.08;8.506909017;47.41724884;515.4;1.24;20.8;25.1
281;84.25;7.67;8.69;21;0;96760.69;8.506919709;47.41727552;515.4;1.24;20.7;24.4
282;84.35;7.67;8.67;17;0;96759.12;8.506870778;47.41731691;515.4;1.24;20.8;24.5
283;84.35;7.68;8.69;20;0;96763.97;8.506821846;47.4173583;515.4;1.24;20.3;24
284;84.45;7.68;8.69;33;0;96762.27;8.506772915;47.41739969;515.4;1.24;20.3;22.9
285;84.56;7.68;8.7;58;0;96771.95;8.506723983;47.41744107;515.4;1.24;20.2;22.7
286;84.66;7.69;8.71;13;0;96769.41;8.506675051;47.41748246;515.4;1.24;20;23.1
287;84.77;7.69;8.72;20;0;96771.88;8.50662612;47.41752385;515.4;1.24;19.7;22.8
288;84.87;7.72;8.72;25;0;96777.12;8.506577188;47.41756524;515.4;1.24;20;22.7
289;84.97;7.71;8.72;14;0;96774.9;8.506528256;47.41760662;515.4;1.24;20;22.4
