"Series;""Time"";""Value""",
"PM10;""2018-12-02T03:30:00+01:00"";15",84
"PM10;""2018-12-02T03:45:00+01:00"";15",524
"PM10;""2018-12-02T04:00:00+01:00"";15",208
"PM10;""2018-12-02T04:15:00+01:00"";14",907
"PM10;""2018-12-02T04:30:00+01:00"";14",617
"PM10;""2018-12-02T04:45:00+01:00"";14",299
"PM10;""2018-12-02T05:00:00+01:00"";13",988
"PM10;""2018-12-02T05:15:00+01:00"";13",704
"PM10;""2018-12-02T05:30:00+01:00"";13",4
"PM10;""2018-12-02T05:45:00+01:00"";13",1
"PM10;""2018-12-02T06:00:00+01:00"";12",798
"PM10;""2018-12-02T06:15:00+01:00"";12",519
"PM10;""2018-12-02T06:30:00+01:00"";12",256
"PM10;""2018-12-02T06:45:00+01:00"";11",999
"PM10;""2018-12-02T07:00:00+01:00"";11",766
"PM10;""2018-12-02T07:15:00+01:00"";11",496
"PM10;""2018-12-02T07:30:00+01:00"";11",226
"PM10;""2018-12-02T07:45:00+01:00"";10",99
"PM10;""2018-12-02T08:00:00+01:00"";10",738
"PM10;""2018-12-02T08:15:00+01:00"";10",509
"PM10;""2018-12-02T08:30:00+01:00"";10",307
"PM10;""2018-12-02T08:45:00+01:00"";10",109
"PM10;""2018-12-02T09:00:00+01:00"";9",907
"PM10;""2018-12-02T09:15:00+01:00"";9",675
"PM10;""2018-12-02T09:30:00+01:00"";9",454
"PM10;""2018-12-02T09:45:00+01:00"";9",287
"PM10;""2018-12-02T10:00:00+01:00"";9",14
"PM10;""2018-12-02T10:15:00+01:00"";9",9
"PM10;""2018-12-02T10:30:00+01:00"";8",882
"PM10;""2018-12-02T10:45:00+01:00"";8",702
"PM10;""2018-12-02T11:00:00+01:00"";8",561
"PM10;""2018-12-02T11:15:00+01:00"";8",446
"PM10;""2018-12-02T11:30:00+01:00"";8",343
"PM10;""2018-12-02T11:45:00+01:00"";8",25
"PM10;""2018-12-02T12:00:00+01:00"";8",173
"PM10;""2018-12-02T12:15:00+01:00"";8",66
"PM10;""2018-12-02T12:30:00+01:00"";7",977
"PM10;""2018-12-02T12:45:00+01:00"";7",929
"PM10;""2018-12-02T13:00:00+01:00"";7",877
"PM10;""2018-12-02T13:15:00+01:00"";7",825
"PM10;""2018-12-02T13:30:00+01:00"";7",764
"PM10;""2018-12-02T13:45:00+01:00"";7",688
"PM10;""2018-12-02T14:00:00+01:00"";7",623
"PM10;""2018-12-02T14:15:00+01:00"";7",528
"PM10;""2018-12-02T14:30:00+01:00"";7",448
"PM10;""2018-12-02T14:45:00+01:00"";7",347
"PM10;""2018-12-02T15:00:00+01:00"";7",271
"PM10;""2018-12-02T15:15:00+01:00"";7",214
"PM10;""2018-12-02T15:30:00+01:00"";7",153
"PM10;""2018-12-02T15:45:00+01:00"";7",67
"PM10;""2018-12-02T16:00:00+01:00"";7",1
"PM10;""2018-12-02T16:15:00+01:00"";6",906
"PM10;""2018-12-02T16:30:00+01:00"";6",786
"PM10;""2018-12-02T16:45:00+01:00"";6",738
"PM10;""2018-12-02T17:00:00+01:00"";6",624
"PM10;""2018-12-02T17:15:00+01:00"";6",512
"PM10;""2018-12-02T17:30:00+01:00"";6",408
"PM10;""2018-12-02T17:45:00+01:00"";6",336
"PM10;""2018-12-02T18:00:00+01:00"";6",35
"PM10;""2018-12-02T18:15:00+01:00"";6",265
"PM10;""2018-12-02T18:30:00+01:00"";6",189
"PM10;""2018-12-02T18:45:00+01:00"";6",17
"PM10;""2018-12-02T19:00:00+01:00"";6",138
"PM10;""2018-12-02T19:15:00+01:00"";6",91
"PM10;""2018-12-02T19:30:00+01:00"";6",68
"PM10;""2018-12-02T19:45:00+01:00"";6",63
"PM10;""2018-12-02T20:00:00+01:00"";6",66
"PM10;""2018-12-02T20:15:00+01:00"";6",56
